rank,address_hex,kind,score,base,move_x,move_z,rotate,delta_x,delta_z,delta_rotate
1096,0x000D3714,Z_CANDIDATE,-0.0031581441871822,-0.0035219821147621,-0.0069342358037829,-0.0086268130689859,-0.0083727035671473,0.0034122536890209,0.0051048309542239,0.0048507214523852
1097,0x000F8FD4,X_CANDIDATE,-0.0036317952908576,0.0036317952908576,0.0,0.0,0.0,0.0036317952908576,0.0036317952908576,0.0036317952908576
1098,0x000F9054,X_CANDIDATE,-0.0054499534890056,-0.0054499534890056,0.0,0.0,0.0,0.0054499534890056,0.0054499534890056,0.0054499534890056
1099,0x000D3E04,X_CANDIDATE,-0.0054606944322586,-0.1017904728651,-0.07625138759613,-0.07907035946846,-0.11007013916969,0.025539085268974,0.022720113396645,0.0082796663045883
1100,0x000D3A7C,Z_CANDIDATE,-0.0068242078414187,-0.0011381438234821,0.028709905222058,0.045919246971607,-0.02517169341445,0.02984804904554,0.047057390795089,0.024033549590968
1101,0x000E8B58,Z_CANDIDATE,-0.0073277408955619,-0.0078163202852011,-0.0004885793896392,-0.00012208191037644,-0.00012208191037644,0.0073277408955619,0.0076942383748246,0.0076942383748246
1102,0x000D3E44,X_CANDIDATE,-0.0074669495224953,-0.10103449225426,-0.076664738357067,-0.078658640384674,-0.11049534380436,0.02436975389719,0.022375851869583,0.0094608515501022
1103,0x000D3A3C,Z_CANDIDATE,-0.0079787609283812,-0.00080604356480762,0.02895556949079,0.04576925560832,-0.025598490610719,0.029761613055598,0.046575299173128,0.024792447045911
1104,0x000D36F8,Z_CANDIDATE,-0.008743085898459,-0.0025005908682942,-0.012655016034842,-0.0150763746351,-0.013665035367012,0.010154425166547,0.012575783766806,0.011164444498718
1105,0x000D3710,Z_CANDIDATE,-0.0087867802940309,0.0024684793315828,0.012511738575995,0.014812063425779,0.013555584475398,0.010043259244412,0.012343584094197,0.011087105143815
1106,0x000D3A30,ROTATION_CANDIDATE,-0.0095748901367188,-33.493453979492,-33.522190093994,-33.525909423828,-33.545070648193,0.028736114501953,0.032455444335938,0.051616668701172
1107,0x000D3898,ROTATION_CANDIDATE,-0.0095754028297961,-0.0056341565214097,-0.034371547400951,-0.03809068351984,-0.057252671569586,0.028737390879542,0.03245652699843,0.051618515048176
