frame,event,state,gate_enabled,attempt,memory_remaining,ready_count,result_elapsed,kill_confirm_count,screen_x,screen_x_copy,raw_horizontal,normalized,soldier_state_a,soldier_state_b,soldier_pointer_hex,arm_ready,raw_detected,normalized_detected,auto_aim_detected,pointer_dead,state_a_dead,state_b_dead,strong_kill,medium_kill,kill_candidate
46182,SAMPLE,COMPLETE,false,2,44,2,90,0,160.03538513184,160.03538513184,0.18572376668453,-0.00011968612670898,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46184,SAMPLE,COMPLETE,false,2,44,2,90,0,160.02616882324,160.02616882324,0.13735067844391,-7.2002410888672e-05,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46186,SAMPLE,COMPLETE,false,2,44,2,90,0,160.02616882324,160.02616882324,0.13735067844391,-7.2002410888672e-05,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46188,SAMPLE,COMPLETE,false,2,44,2,90,0,160.01934814453,160.01934814453,0.10155141353607,-2.3841857910156e-05,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46190,SAMPLE,COMPLETE,false,2,44,2,90,0,160.01431274414,160.01431274414,0.07512241601944,-2.3841857910156e-05,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46192,SAMPLE,COMPLETE,false,2,44,2,90,0,160.01058959961,160.01058959961,0.055580977350473,2.3961067199707e-05,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46194,SAMPLE,COMPLETE,false,2,44,2,90,0,160.00782775879,160.00782775879,0.041085071861744,2.3961067199707e-05,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46196,SAMPLE,COMPLETE,false,2,44,2,90,0,160.00578308105,160.00578308105,0.030353302136064,-2.3841857910156e-05,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46198,SAMPLE,COMPLETE,false,2,44,2,90,0,160.00428771973,160.00428771973,0.02250468917191,-2.3841857910156e-05,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46200,SAMPLE,COMPLETE,false,2,44,2,90,0,160.00428771973,160.00428771973,0.02250468917191,-2.3841857910156e-05,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46202,SAMPLE,COMPLETE,false,2,44,2,90,0,160.00317382813,160.00317382813,0.016658276319504,-2.3841857910156e-05,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46204,SAMPLE,COMPLETE,false,2,44,2,90,0,160.00234985352,160.00234985352,0.012333530932665,-2.3841857910156e-05,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46206,SAMPLE,COMPLETE,false,2,44,2,90,0,160.00173950195,160.00173950195,0.0091300159692764,-2.3841857910156e-05,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46208,SAMPLE,COMPLETE,false,2,44,2,90,0,160.00128173828,160.00128173828,0.0067273806780577,-2.3841857910156e-05,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46210,SAMPLE,COMPLETE,false,2,44,2,90,0,160.00094604492,160.00094604492,0.0049654478207231,-2.3841857910156e-05,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46212,SAMPLE,COMPLETE,false,2,44,2,90,0,160.00061035156,160.00061035156,0.0032035144977272,-2.3841857910156e-05,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46214,SAMPLE,COMPLETE,false,2,44,2,90,0,160.00061035156,160.00061035156,0.0032035144977272,-2.3841857910156e-05,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46216,SAMPLE,COMPLETE,false,2,44,2,90,0,160.00044250488,160.00044250488,0.0023225483018905,-2.3841857910156e-05,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
